,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
391,Linguistics,Bachelors,"$52,100","$84,900",43%
392,French Language,Bachelors,"$49,600","$84,800",47%
393,Communication,Bachelors,"$48,000","$84,700",45%
394,Neuroscience,Bachelors,"$51,800","$84,700",58%
395,Business Management & Human Resources Management (HRM),Bachelors,"$46,800","$84,600",57%
396,Journalism & Mass Communication,Bachelors,"$46,300","$84,600",44%
397,Accounting & Management,Bachelors,"$55,500","$84,500",52%
398,Sociology & Organizational Studies,Bachelors,"$53,500","$84,300",57%
399,Crop Science,Bachelors,"$48,700","$84,200",60%
400,French Studies,Bachelors,"$52,400","$84,200",57%
401,Writing,Bachelors,"$44,200","$84,200",42%
402,Nursing,Bachelors,"$65,000","$84,200",83%
403,History,Bachelors,"$47,800","$84,100",46%
404,Biology,Bachelors,"$47,100","$84,000",65%
405,Land Surveying,Bachelors,"$51,900","$84,000",54%
406,Architectural Technology,Bachelors,"$46,700","$83,900",61%
407,Health Care,Bachelors,"$44,400","$83,900",74%
408,Integrated Marketing Communications,Bachelors,"$47,000","$83,900",36%
409,Agriculture,Bachelors,"$47,700","$83,800",61%
410,Digital Design,Bachelors,"$50,000","$83,600",40%
411,Marketing & Advertising,Bachelors,"$49,300","$83,600",44%
412,Organizational Communication,Bachelors,"$46,400","$83,600",49%
413,Visual Effects & Motion Graphics,Bachelors,"$48,100","$83,400",38%
414,Public Relations & Communication,Bachelors,"$45,700","$83,300",47%
415,General & Strategic Management,Bachelors,"$51,200","$83,300",55%
416,Foreign Languages,Bachelors,"$48,400","$83,100",52%
417,Retail Merchandising,Bachelors,"$50,900","$83,100",31%
418,Agribusiness Management,Bachelors,"$47,700","$83,000",46%
419,Global Business,Bachelors,"$55,800","$83,000",31%
420,Professional & Technical Writing,Bachelors,"$48,500","$83,000",44%
421,Computer Art,Bachelors,"$40,400","$82,900",31%
422,Environmental Management,Bachelors,"$50,200","$82,900",62%
423,Environmental Studies,Bachelors,"$48,500","$82,900",59%
424,Journalism,Bachelors,"$45,900","$82,900",44%
425,Travel Industry Management,Bachelors,"$52,600","$82,900",-
426,International Development Studies,Bachelors,"$47,700","$82,800",64%
427,Natural Sciences,Bachelors,"$45,100","$82,800",55%
428,Retail & Consumer Science,Bachelors,"$51,800","$82,800",32%
429,Literature,Bachelors,"$46,800","$82,800",47%
430,Bachelor in Science Nursing,Bachelors,"$64,000","$82,700",81%
431,History & Political Science,Bachelors,"$50,600","$82,700",50%
432,Museum Studies,Bachelors,"$38,900","$82,700",50%
433,Computer Information Management,Bachelors,"$49,400","$82,600",-
434,Dental Hygiene,Bachelors,"$72,700","$82,600",80%
435,Law,Bachelors,"$54,300","$82,600",53%
436,Network Technology,Bachelors,"$59,800","$82,600",57%
437,Media Studies,Bachelors,"$50,700","$82,400",38%
438,Environmental Geography,Bachelors,"$50,200","$82,300",52%
439,Law Enforcement,Bachelors,"$46,700","$82,200",60%
440,Nuclear Medicine,Bachelors,"$60,300","$81,900",81%
441,Bachelor of Science in Nursing,Bachelors,"$63,800","$81,900",83%
442,Computer Animation,Bachelors,"$46,800","$81,800",36%
443,Landscape Architecture,Bachelors,"$51,500","$81,800",65%
444,Publishing,Bachelors,"$46,300","$81,800",39%
445,Interior Architecture,Bachelors,"$47,600","$81,500",45%
446,Diagnostic Medical Sonography,Bachelors,"$64,300","$81,400",86%
447,Environmental & Natural Resource Economics,Bachelors,"$52,400","$81,400",65%
448,Public Relations (PR),Bachelors,"$45,600","$81,400",42%
449,Workforce Education & Development,Bachelors,"$59,900","$81,400",80%
450,American History (United States),Bachelors,"$50,900","$81,300",52%
451,Drama,Bachelors,"$47,400","$81,100",47%
452,Management (MGT),Bachelors,"$47,000","$81,000",62%
453,Merchandising Management,Bachelors,"$46,800","$80,900",38%
454,Environmental Biology,Bachelors,"$45,000","$80,800",70%
455,Accounting & Business,Bachelors,"$52,400","$80,700",48%
456,Automotive Technology & Service Management,Bachelors,"$48,800","$80,500",32%
457,Speech Communication,Bachelors,"$46,700","$80,500",54%
458,Allied Health,Bachelors,"$44,800","$80,400",78%
459,Agricultural Systems Technology,Bachelors,"$60,500","$80,300",-
460,Emergency Management,Bachelors,"$50,900","$80,300",80%
461,Network Administration,Bachelors,"$48,700","$80,300",56%
462,Communication Management,Bachelors,"$46,000","$80,200",38%
463,Historic Preservation,Bachelors,"$43,400","$80,000",-
464,Broadcast Journalism,Bachelors,"$42,900","$79,900",50%
465,Broadcast & Cinematic Arts,Bachelors,"$42,800","$79,900",43%
466,Automotive Technology,Bachelors,"$48,100","$79,800",47%
467,Business Management & Administration,Bachelors,"$51,400","$79,800",53%
468,Agricultural Business,Bachelors,"$52,700","$79,700",51%
469,Technology Management,Bachelors,"$56,400","$79,700",47%
470,Global Studies,Bachelors,"$51,200","$79,600",46%
471,Professional Studies,Bachelors,"$42,800","$79,600",62%
472,Interpersonal Communications,Bachelors,"$45,000","$79,500",53%
473,Forestry,Bachelors,"$45,900","$79,400",67%
474,Homeland Security,Bachelors,"$49,200","$79,400",72%
475,Ancient History,Bachelors,"$46,000","$79,300",-
476,Botany,Bachelors,"$42,600","$79,300",73%
477,Geography,Bachelors,"$49,700","$79,300",52%
478,Computer Aided Design (CAD),Bachelors,"$48,700","$79,200",-
479,Nutrition Science,Bachelors,"$49,500","$79,200",70%
480,Acting,Bachelors,"$44,200","$79,100",50%
481,Public Management,Bachelors,"$50,200","$79,100",66%
482,Nuclear Medicine Technology,Bachelors,"$61,700","$79,000",82%
483,Apparel & Textile Manufacture,Bachelors,"$48,300","$78,900",37%
484,English Language & Literature,Bachelors,"$46,400","$78,900",44%
485,Urban Studies,Bachelors,"$51,500","$78,900",57%
486,Mass Communication,Bachelors,"$44,800","$78,800",44%
487,Forestry Management,Bachelors,"$48,600","$78,700",71%
488,Radio/Television & Film Production,Bachelors,"$45,700","$78,700",39%
489,Hospital Management,Bachelors,"$53,200","$78,600",45%
490,Human Resources Management (HRM),Bachelors,"$47,900","$78,500",55%
491,Marine Science,Bachelors,"$46,100","$78,400",64%
492,American Sign Language Interpreting,Bachelors,"$43,100","$78,300",87%
493,English & History,Bachelors,"$45,700","$78,300",49%
494,English Language,Bachelors,"$44,600","$78,300",45%
495,Cytotechnology,Bachelors,"$61,900","$78,200",89%
496,Geosciences,Bachelors,"$48,700","$78,200",62%
497,Hospital Administration,Bachelors,"$51,200","$78,200",57%
498,Film Production,Bachelors,"$44,600","$78,100",33%
499,Marine Biology,Bachelors,"$43,300","$78,100",66%
500,Zoology,Bachelors,"$42,100","$77,900",67%
501,Communication Design,Bachelors,"$51,700","$77,800",34%
502,Leadership,Bachelors,"$47,200","$77,500",57%
503,Music Technology,Bachelors,"$44,800","$77,500",39%
504,Musicology,Bachelors,"$40,000","$77,500",-
505,Technical Writing,Bachelors,"$53,300","$77,500",42%
506,Agricultural Communication,Bachelors,"$44,600","$77,400",52%
507,Logistics Management,Bachelors,"$56,300","$77,400",49%
508,German Language & Literature,Bachelors,"$49,400","$77,300",47%
509,Administration,Bachelors,"$44,600","$77,100",58%
510,Apparel Merchandising,Bachelors,"$47,600","$77,100",35%
511,Computer Aided Drafting & Design (CADD),Bachelors,"$49,100","$77,100",52%
512,Organizational Leadership & Supervision,Bachelors,"$49,600","$77,100",51%
513,Printing Technology,Bachelors,"$46,200","$77,100",-
514,Spanish Language,Bachelors,"$47,700","$77,100",51%
515,Multimedia,Bachelors,"$44,700","$77,000",45%
516,Spanish Language Teacher Education,Bachelors,"$45,500","$76,900",73%
517,Public Administration,Bachelors,"$46,700","$76,900",57%
518,Human Nutrition,Bachelors,"$48,600","$76,900",85%
519,Audio Engineering,Bachelors,"$48,300","$76,800",39%
520,Graphics Technology & Management,Bachelors,"$39,500","$76,800",38%
521,Physical Anthropology,Bachelors,"$52,900","$76,800",51%
522,Organizational Leadership,Bachelors,"$50,500","$76,700",58%
523,Environmental Health Science,Bachelors,"$53,800","$76,600",61%
524,Health Sciences,Bachelors,"$44,600","$76,600",70%
525,Journalism & Electronic Media,Bachelors,"$45,200","$76,500",48%
526,Religious Studies,Bachelors,"$43,900","$76,300",55%
527,Art History,Bachelors,"$46,600","$76,200",45%
528,Radiologic Science,Bachelors,"$57,600","$76,200",81%
529,3D Animation,Bachelors,"$51,800","$76,000",42%
530,Culture Studies,Bachelors,"$48,100","$75,900",40%
531,Merchandising,Bachelors,"$53,100","$75,900",31%
532,Administrative Management,Bachelors,"$52,700","$75,800",50%
533,Human Resources (HR),Bachelors,"$47,300","$75,800",56%
534,Liberal Arts,Bachelors,"$44,500","$75,800",53%
535,Adult Education & Training,Bachelors,"$48,700","$75,600",79%
536,Fashion Merchandising,Bachelors,"$46,900","$75,600",29%
537,Health & Fitness,Bachelors,"$39,800","$75,600",67%
538,Natural Resources,Bachelors,"$47,400","$75,500",64%
539,Organizational Management,Bachelors,"$48,800","$75,500",57%
540,Modern Languages,Bachelors,"$50,300","$75,400",53%
541,Natural Resource Management,Bachelors,"$46,500","$75,400",60%
542,Retail Management,Bachelors,"$50,100","$75,400",35%
543,Sociology & Anthropology,Bachelors,"$44,500","$75,400",50%
544,Creative Writing,Bachelors,"$45,300","$75,200",41%
545,Criminal Justice Administration,Bachelors,"$45,700","$75,100",56%
546,Ethnic Studies,Bachelors,"$47,500","$74,900",63%
547,Philosophy & Religious Studies,Bachelors,"$49,300","$74,900",61%
548,Radiology,Bachelors,"$54,800","$74,900",80%
549,Medical Laboratory Technology,Bachelors,"$56,900","$74,400",82%
550,Sports Management,Bachelors,"$45,400","$74,400",43%
551,Anthropology & English,Bachelors,"$48,000","$74,300",-
552,Broadcast Communication,Bachelors,"$40,000","$74,300",44%
553,Criminology,Bachelors,"$44,700","$74,300",54%
554,Earth Science,Bachelors,"$50,000","$74,300",48%
555,Media & Technology,Bachelors,"$45,200","$74,300",43%
556,Visual Communications,Bachelors,"$45,400","$74,300",38%
557,Advertising & Graphic Design,Bachelors,"$46,800","$74,200",37%
558,Applied Behavior Analysis,Bachelors,"$38,700","$74,200",81%
559,Psychology,Bachelors,"$44,700","$74,200",56%
560,Applied Management,Bachelors,"$45,500","$74,100",53%
561,Hotel & Restaurant Management,Bachelors,"$47,300","$74,100",48%
562,Anthropology,Bachelors,"$46,400","$73,900",46%
563,Arts Management,Bachelors,"$39,400","$73,800",48%
564,Diagnostic Medical Imaging,Bachelors,"$60,600","$73,800",73%
565,Communication Arts,Bachelors,"$42,400","$73,600",39%
566,Middle Eastern Studies,Bachelors,"$57,100","$73,600",48%
567,Radiologic Technology,Bachelors,"$55,200","$73,600",83%
568,Painting & Printmaking,Bachelors,"$34,700","$73,600",41%
569,Cardiopulmonary Science,Bachelors,"$48,900","$73,400",90%
570,Human Relations,Bachelors,"$45,000","$73,400",63%
571,Humanities,Bachelors,"$48,500","$73,200",49%
572,Health Care Administration,Bachelors,"$45,800","$73,100",69%
573,Health Care Management,Bachelors,"$46,700","$73,000",72%
574,Life Sciences,Bachelors,"$53,100","$73,000",64%
575,Ecology,Bachelors,"$46,400","$72,900",57%
576,Media Arts,Bachelors,"$46,500","$72,900",34%
577,Respiratory Care,Bachelors,"$54,800","$72,800",84%
578,Art & Design,Bachelors,"$45,100","$72,700",38%
579,Health Information Management,Bachelors,"$49,000","$72,700",69%
580,Hospitality Management,Bachelors,"$46,400","$72,700",43%
581,Health Teacher Education,Bachelors,"$37,900","$72,600",46%
582,Sports Medicine,Bachelors,"$50,100","$72,600",77%
583,Multimedia & Web Design,Bachelors,"$50,200","$72,600",34%
584,Sociology,Bachelors,"$46,200","$72,500",55%
585,Liberal Studies,Bachelors,"$44,300","$72,400",56%
586,Interior Design,Bachelors,"$45,100","$72,300",50%
587,Medical Laboratory Science,Bachelors,"$55,600","$72,300",85%
588,Secondary Education,Bachelors,"$44,600","$72,300",59%
589,Child Psychology,Bachelors,"$38,900","$72,200",64%
590,Exercise Physiology,Bachelors,"$44,100","$72,200",76%
591,Radiography,Bachelors,"$55,300","$72,200",85%
592,Archaeology,Bachelors,"$45,900","$72,100",46%
593,Art Administration,Bachelors,"$40,200","$72,100",56%
594,Hotel & Restaurant Tourism,Bachelors,"$44,300","$72,100",49%
595,Illustration,Bachelors,"$45,200","$72,100",36%
596,Arts & Science,Bachelors,"$45,700","$71,900",-
597,Health,Bachelors,"$44,200","$71,900",73%
598,Turfgrass Management,Bachelors,"$53,100","$71,900",51%
599,Animal Science & Management,Bachelors,"$44,200","$71,800",55%
600,SocialStudies,Bachelors,"$45,800","$71,700",57%
601,Human Resources Development,Bachelors,"$48,600","$71,600",50%
602,Speech Pathology & Audiology,Bachelors,"$44,100","$71,600",78%
603,Clinical Laboratory Science,Bachelors,"$55,100","$71,500",83%
604,Forensic Science,Bachelors,"$46,000","$71,500",64%
605,Health Administration,Bachelors,"$42,700","$71,500",66%
606,Geomatics,Bachelors,"$52,300","$71,400",70%
607,Media Communication,Bachelors,"$47,000","$71,400",45%
608,Health Management,Bachelors,"$45,100","$71,300",-
609,Commercial Photography,Bachelors,"$43,800","$71,300",23%
610,Fashion Design & Marketing,Bachelors,"$45,300","$71,100",44%
611,Mass Media,Bachelors,"$40,300","$71,100",49%
612,Medical Technology,Bachelors,"$56,500","$71,000",81%
613,Respiratory Therapy,Bachelors,"$54,500","$70,900",82%
614,Theater,Bachelors,"$44,600","$70,700",50%
615,Forensic Psychology,Bachelors,"$43,000","$70,600",54%
616,Kinesiology,Bachelors,"$44,800","$70,600",66%
617,Performing Arts,Bachelors,"$45,700","$70,500",57%
618,Psychology & Social Behavior,Bachelors,"$45,800","$70,500",59%
619,Religion,Bachelors,"$44,400","$70,500",59%
620,Radio & Television,Bachelors,"$43,100","$70,500",41%
621,Technology Teacher Education,Bachelors,"$47,700","$70,400",57%
622,Educational Studies (ED),Bachelors,"$40,300","$70,200",65%
623,Music,Bachelors,"$44,300","$70,200",55%
624,Business Leadership,Bachelors,"$50,100","$70,200",45%
625,Drafting & Design,Bachelors,"$51,000","$70,100",69%
626,Plant Sciences,Bachelors,"$48,000","$70,100",60%
627,Criminal Justice,Bachelors,"$42,800","$69,800",56%
628,Web Design,Bachelors,"$49,900","$69,800",25%
629,Graphic Design,Bachelors,"$45,100","$69,700",37%
630,Nutrition,Bachelors,"$48,100","$69,600",65%
631,Nutrition & Dietetics,Bachelors,"$50,800","$69,600",72%
632,Missions,Bachelors,"$41,300","$69,500",-
633,Dramatic Art,Bachelors,"$41,400","$69,400",-
634,Fashion Marketing & Management,Bachelors,"$47,700","$69,100",30%
635,Interdisciplinary Studies (IS),Bachelors,"$44,600","$68,900",56%
636,Hospitality & Tourism,Bachelors,"$44,200","$68,800",41%
637,Human Ecology,Bachelors,"$42,100","$68,800",54%
638,Ornamental Horticulture,Bachelors,"$46,000","$68,800",69%
639,Physical Therapist Assistant Studies,Bachelors,"$49,900","$68,800",85%
640,Public Health (PH),Bachelors,"$46,000","$68,800",69%
641,Art Therapy,Bachelors,"$41,100","$68,600",80%
642,Dietetics,Bachelors,"$51,300","$68,600",74%
643,Landscape Management,Bachelors,"$52,300","$68,600",-
644,Applied Sociology,Bachelors,"$42,200","$68,500",57%
645,Fine Arts,Bachelors,"$43,200","$68,500",44%
646,Modern Language Spanish,Bachelors,"$43,800","$68,500",52%
647,Women's Studies,Bachelors,"$45,200","$68,500",59%
648,Social & Criminal Justice,Bachelors,"$44,800","$68,500",59%
649,Animal Science,Bachelors,"$41,200","$68,300",64%
650,New Media,Bachelors,"$46,000","$68,300",33%
651,Textiles & Clothing,Bachelors,"$45,100","$68,300",47%
652,Event Management,Bachelors,"$41,700","$68,200",40%
653,Family & Consumer Science,Bachelors,"$42,600","$68,000",59%
654,Speech-Language Pathology,Bachelors,"$44,100","$67,900",70%
655,Technical Theatre,Bachelors,"$41,000","$67,600",42%
656,Education,Bachelors,"$44,100","$67,500",65%
657,Foods & Nutrition,Bachelors,"$47,000","$67,500",68%
658,Recreation Management,Bachelors,"$42,300","$67,500",58%
659,Business & Healthcare Management,Bachelors,"$46,900","$67,300",69%
660,Agricultural Teacher Education,Bachelors,"$53,500","$67,100",-
661,Music Composition,Bachelors,"$44,000","$66,900",51%
662,Art,Bachelors,"$43,400","$66,700",46%
663,Psychology & Sociology,Bachelors,"$42,800","$66,700",53%
664,Drawing & Painting,Bachelors,"$42,800","$66,600",48%
665,Nonprofit Management,Bachelors,"$42,300","$66,300",79%
666,Small Business Management,Bachelors,"$47,100","$66,200",38%
667,Behavioral Science,Bachelors,"$43,000","$66,000",62%
668,Horticulture & Agronomy,Bachelors,"$52,500","$65,900",-
669,Health Services Administration,Bachelors,"$42,700","$65,800",63%
670,Multidisciplinary Studies,Bachelors,"$41,800","$65,800",53%
671,Restaurant & Food Service Management,Bachelors,"$43,900","$65,800",45%
672,Consumer Affairs,Bachelors,"$51,000","$65,700",43%
673,Training and Development,Bachelors,"$52,600","$65,600",-
674,Health & Exercise Science,Bachelors,"$41,700","$65,600",67%
675,Electronic Media,Bachelors,"$45,300","$65,600",37%
676,Environmental Resource Management,Bachelors,"$48,700","$65,500",65%
677,Theatre Arts,Bachelors,"$43,500","$65,300",51%
678,Applied Linguistics,Bachelors,"$46,800","$65,200",44%
679,African American & African Studies,Bachelors,"$46,400","$65,100",60%
680,Exercise & Sports Science,Bachelors,"$42,600","$65,100",70%
681,General Studies,Bachelors,"$43,600","$65,100",52%
682,Justice Studies,Bachelors,"$45,300","$65,100",50%
683,Video Production,Bachelors,"$42,800","$65,100",33%
684,Graphic Arts,Bachelors,"$42,700","$64,900",41%
685,Physical Education Teaching,Bachelors,"$42,200","$64,900",69%
686,Health Services Management,Bachelors,"$41,600","$64,800",83%
687,Physical Education & Exercise Science,Bachelors,"$44,100","$64,800",72%
688,Drawing,Bachelors,"$37,400","$64,800",39%
689,Exercise Science,Bachelors,"$41,400","$64,700",73%
690,Printmaking,Bachelors,"$38,400","$64,300",40%
691,Sports Administration,Bachelors,"$43,300","$64,300",47%
692,Theology,Bachelors,"$42,800","$64,300",68%
693,Interior Design & Merchandising,Bachelors,"$43,700","$64,200",37%
694,Recreation & Leisure Studies,Bachelors,"$40,300","$64,200",60%
695,Human Development,Bachelors,"$43,700","$64,100",64%
696,Music Industry,Bachelors,"$45,800","$64,100",38%
697,Wildlife Management,Bachelors,"$39,700","$64,100",49%
698,Supervision & Management,Bachelors,"$41,700","$64,100",57%
699,Health & Wellness,Bachelors,"$40,100","$64,000",70%
700,Culinary Arts & Food Service Management,Bachelors,"$41,300","$64,000",50%
701,Mortuary Science,Bachelors,"$43,500","$64,000",85%
702,Clinical Psychology,Bachelors,"$43,000","$63,900",65%
703,Community Health Education,Bachelors,"$42,600","$63,900",75%
704,Dance,Bachelors,"$45,100","$63,900",62%
705,Speech Pathology,Bachelors,"$42,800","$63,700",69%
706,Gender Studies,Bachelors,"$45,500","$63,600",55%
707,Secondary English Teacher Education,Bachelors,"$42,000","$63,600",64%
708,Photography,Bachelors,"$43,800","$63,500",38%
709,English Teacher Education,Bachelors,"$43,300","$63,100",57%
710,Paralegal Studies,Bachelors,"$39,600","$63,100",50%
711,Social Studies Teacher Education,Bachelors,"$43,400","$63,100",65%
712,Teaching English as a Second Language (ESL),Bachelors,"$42,800","$63,000",73%
713,Music Teacher Education,Bachelors,"$42,000","$63,000",62%
714,Health Promotion,Bachelors,"$42,300","$62,800",69%
715,Recording Arts,Bachelors,"$44,800","$62,800",48%
716,Photojournalism,Bachelors,"$41,900","$62,600",59%
717,Recreation Administration,Bachelors,"$47,000","$62,500",71%
718,Radio Broadcasting,Bachelors,"$46,300","$62,400",33%
719,Sculpture,Bachelors,"$40,300","$62,200",47%
720,Painting,Bachelors,"$40,700","$62,000",44%
721,Psychology & Social Sciences,Bachelors,"$42,600","$62,000",68%
722,Health & Physical Education Teaching,Bachelors,"$38,700","$61,900",65%
723,Organizational Administration,Bachelors,"$45,000","$61,800",-
724,Tourism Management,Bachelors,"$43,100","$61,600",38%
725,Instrumental Music Teacher Education,Bachelors,"$41,700","$61,600",65%
726,Emergency Medical Services (EMS),Bachelors,"$44,200","$61,400",-
727,Community Health,Bachelors,"$45,400","$61,300",72%
728,Health & Human Performance,Bachelors,"$38,100","$61,100",68%
729,Music Therapy,Bachelors,"$43,100","$60,700",93%
730,Social Services,Bachelors,"$39,900","$60,500",82%
731,Rehabilitation Services,Bachelors,"$35,800","$60,200",79%
732,Horticulture,Bachelors,"$43,000","$60,100",59%
733,University Studies,Bachelors,"$42,400","$60,000",49%
734,Church Ministries,Bachelors,"$40,000","$59,900",79%
735,Communicative Disorders,Bachelors,"$47,400","$59,800",73%
736,Social Science Teacher Education,Bachelors,"$45,400","$59,800",-
737,Wildlife Biology,Bachelors,"$42,900","$59,800",60%
738,Community Development,Bachelors,"$44,600","$59,400",63%
739,Psychology & Human Services,Bachelors,"$35,600","$59,400",-
740,Athletic Training,Bachelors,"$42,100","$59,300",75%
741,Biblical Studies,Bachelors,"$40,500","$59,000",72%
742,Biblical Studies & Practical Ministries,Bachelors,"$36,400","$58,900",76%
743,Counseling Psychology,Bachelors,"$42,700","$58,900",64%
744,Recreational Studies,Bachelors,"$42,100","$58,900",69%
745,Teaching,Bachelors,"$42,000","$58,900",72%
746,Home Economics,Bachelors,"$41,800","$58,700",69%
747,Library & Information Science,Bachelors,"$48,200","$58,700",48%
748,Human Development & Family Studies,Bachelors,"$40,300","$58,600",66%
749,Tourism & Travel,Bachelors,"$42,200","$58,600",43%
750,Landscape Design,Bachelors,"$49,000","$58,500",63%
751,Ceramics,Bachelors,"$42,200","$58,300",51%
752,Clinical Social Work (CSW),Bachelors,"$43,500","$58,300",-
753,Parks & Recreation Management,Bachelors,"$42,700","$58,300",56%
754,Pastoral Ministry,Bachelors,"$38,700","$58,000",83%
755,Vocal Performance,Bachelors,"$42,600","$58,000",65%
756,Art Teacher Education,Bachelors,"$40,300","$57,500",62%
757,Bible Studies & Theology,Bachelors,"$40,000","$57,500",67%
758,Forensic Accounting,Bachelors,"$48,300","$57,200",48%
759,Communication Sciences & Disorders,Bachelors,"$43,300","$57,100",76%
760,Legal Assistant Studies,Bachelors,"$38,100","$57,100",38%
761,Special Education,Bachelors,"$41,300","$57,000",76%
762,Conservation Biology,Bachelors,"$42,800","$56,900",57%
763,Family Studies,Bachelors,"$39,200","$56,800",68%
764,Christian Ministry,Bachelors,"$38,100","$56,400",79%
765,Speech & Hearing,Bachelors,"$43,300","$56,400",76%
766,Health and Human Services,Bachelors,"$43,500","$56,300",65%
767,Musical Theatre,Bachelors,"$43,500","$56,100",50%
768,History Teacher Education,Bachelors,"$47,700","$55,600",46%
769,Developmental Psychology,Bachelors,"$38,200","$55,000",-
770,Therapeutic Recreation,Bachelors,"$39,500","$54,900",82%
771,Applied Behavioral Science,Bachelors,"$40,500","$54,600",50%
772,Community & Human Services,Bachelors,"$42,400","$54,600",80%
773,Social Work (SW),Bachelors,"$38,600","$54,600",76%
774,Office Administration,Bachelors,"$38,700","$54,500",65%
775,Ministry,Bachelors,"$36,700","$54,300",81%
776,Family & Community Services,Bachelors,"$42,200","$54,300",74%
777,Youth Ministry,Bachelors,"$37,400","$54,200",76%
778,Elementary Education,Bachelors,"$40,000","$53,800",69%
779,Voice & Opera,Bachelors,"$34,500","$53,300",57%
780,Christian Education,Bachelors,"$38,700","$53,200",82%
781,Conflict Resolution,Bachelors,"$44,400","$53,200",50%
782,Baking & Pastry Arts,Bachelors,"$37,500","$53,000",44%
783,Human Services Management,Bachelors,"$45,600","$53,000",-
784,Hospitality & The Culinary Arts,Bachelors,"$38,800","$52,900",-
785,Human Services (HS),Bachelors,"$38,700","$52,500",71%
786,Counseling,Bachelors,"$39,900","$51,700",78%
787,Recreational Therapy,Bachelors,"$38,400","$51,600",84%
788,Child Development,Bachelors,"$37,400","$51,400",73%
789,Educational Psychology,Bachelors,"$36,900","$51,200",-
790,Middle School Education,Bachelors,"$41,200","$50,800",73%
791,Mental Health Counseling,Bachelors,"$36,100","$50,000",78%
792,Early Childhood & Elementary Education,Bachelors,"$38,000","$48,400",77%
793,Equine Studies,Bachelors,"$35,700","$47,100",50%
794,Addiction Studies,Bachelors,"$38,000","$47,000",84%
795,Child & Family Studies,Bachelors,"$36,400","$46,500",73%
796,Rehabilitation Counseling,Bachelors,"$39,200","$46,400",-
797,Outdoor Education,Bachelors,"$37,400","$46,300",52%
798,Early Childhood Education,Bachelors,"$36,100","$45,400",78%
799,Mental Health,Bachelors,"$36,900","$45,000",-
800,Medical Assisting,Bachelors,"$36,000","$44,800",-
801,Metalsmithing,Bachelors,"$40,000","$40,300",33%
